1-ORF,2-Gene Name,3-Description,4-Localization,5-Cell morphology,6-Mitochondria morphology,7-YPD,8-SD,9-YPG,10-KO*,11-Short-Categorical result,12-Long-Categorical result,13-Short-% decrease with IAA,14-Long-% decrease with IAA,15-Short-0min-signal,16-Short-0min-StD,17-Short-0min-n,18-Short-30min-signal,19-Short-30min-StD,20-Short-30min-n,21-Long-0h-signal,22-Long-0h-StD,23-Long-0h-n,24-Long-24h-signal,25-Long-24h-StD,26-Long-24h-n,27-Mito Signal,28-Mito StD,29-Mito n,

YMR116C,ASC1,G-protein beta subunit and guanine dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; required to prevent frameshifting at ribosomes stalled at repeated CGA codons; regulates P-body formation induced by replication stress; represses Gcn4p in the absence of amino acid starvation; controls phosphorylation of multiple proteins,0,Normal,Normal,1.466,0.751,0.999,viable ,No aparent change,No aparent change,Not calculated,Not calculated,2096,1284,1139,2346,1295,1836,3135,1478,3819,2980,2049,356,123,8,364,

YLR304C,ACO1,Aconitase; required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy; mutation in human homolog ACO2 is associated with dominant optic nerve atrophy; human homolog ACO2 can complement yeast null mutant ,0,Normal,Normal,1.388,0.873,1.552,viable ,No aparent change,No aparent change,Not calculated,Not calculated,381,143,1228,389,136,2107,841,340,1964,650,244,359,119,6,365,

YML123C,PHO84,High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity,0,Normal,Normal,1.343,1.15,1.048,competitive fitness  decreased ,No aparent change,No aparent change,Not calculated,Not calculated,161,15,2218,153,12,2846,233,23,2572,194,35,344,126,11,372,

YHR183W,GND1,"6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog, GND2, that arose from the whole genome duplication","ambiguous,cytoplasm",Normal,Normal,1.349,0.734,0.941,viable ,Responsive,Responsive,46,95,585,296,1374,364,206,2028,1041,511,2076,195,30,323,130,15,328,

YJR104C,SOD1,"Cytosolic copper-zinc superoxide dismutase; also sulfide oxidase; detoxifies superoxide and hydrogen sulfide; stabilizes Yck1p and Yck2p kinases in glucose to repress respiration; phosphorylated by Dun1p, enters nucleus under oxidative stress to promote transcription of stress response genes; abundance increases under DNA replication stress; localization to mitochondrial intermembrane space is modulated by MICOS complex; human ortholog SOD1 implicated in ALS complements a null allele","ambiguous,cytoplasm,nucleus",Normal,Normal,1.307,0.087,0.849,viable ,No aparent change,Responsive,Not calculated,Not calculated,296,100,1545,356,134,2297,612,233,2035,214,41,165,130,12,174,

YNL031C,HHT2,"Histone H3; core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT1); regulated by acetylation, methylation, and phosphorylation; H3K14 acetylation plays an important role in the unfolding of strongly positioned nucleosomes during repair of UV damage",ambiguous,Normal,Cell morphology,1.484,1.195,1.077,viable ,No aparent change,Partially responsive,Not calculated,88,294,158,1348,210,109,2404,591,462,671,198,25,357,137,16,373,

YIL053W,GPP1,"Constitutively expressed DL-glycerol-3-phosphate phosphatase; also known as glycerol-1-phosphatase; involved in glycerol biosynthesis, induced in response to both anaerobic and osmotic stress; GPP1 has a paralog, GPP2, that arose from the whole genome duplication","ambiguous,cytoplasm,nucleus",Normal,Normal,1.421,1.167,0.97,viable ,Responsive,Responsive,59,93,506,298,2049,265,147,2570,1128,548,1553,218,31,372,134,14,378,

YDR033W,MRH1,"Protein that localizes primarily to the plasma membrane; also found at the nuclear envelope; long-lived protein that is asymmetrically retained in the plasma membrane of mother cells; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; null mutation confers sensitivity to acetic acid","cell periphery,bud",Normal,Normal,1.471,1.27,0.926,viable ,No aparent change,Responsive,Not calculated,84,403,164,2159,332,110,2717,605,232,2288,220,24,342,128,9,339,

YJR076C,CDC11,"Component of the septin ring that is required for cytokinesis; present at the ends of rod-like septin hetero-oligomers; C-terminal extension is important for recruitment of Bni5p to the mother-bud neck, which in turn is required for Myo1p recruitment and cytokinesis; septin rings at the mother-bud neck act as scaffolds for recruiting cell division factors and as barriers to prevent diffusion of specific proteins between mother and daughter cells","bud neck,cell periphery",Synchronized abnormal,Abnormal,0,0,0,inviable ,Responsive,Responsive,23,Not calculated,159,14,1131,146,10,1595,225,26,1630,168,16,601,133,45,605,

YGL008C,PMA1,"Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived hexameric protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging, buds emerge with very low levels of Pma1p, newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]","cell periphery,vacuole",Normal,Normal,1.643,1.149,0.878,inviable ,No aparent change,Partially responsive,Not calculated,72,1086,575,677,1009,501,1226,1722,801,1184,581,405,110,134,18,113,

YDR345C,HXT3,"Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication","cell periphery,vacuole",Normal,Normal,1.488,1.321,0.897,viable ,No aparent change,Responsive,Not calculated,69,241,98,2807,221,79,2919,395,197,1053,217,27,213,132,11,214,

YEL017C-A,PMP2,"Proteolipid associated with plasma membrane H(+)-ATPase (Pma1p); regulates plasma membrane H(+)-ATPase activity; protein abundance increases in response to DNA replication stress; PMP2 has a paralog, PMP1, that arose from the whole genome duplication","cell periphery,vacuole",Normal,Normal,1.47,1.241,0.88,viable ,Responsive,Responsive,46,88,393,89,2412,259,48,2861,642,113,1940,206,20,371,132,13,371,

YDR172W,SUP35,"Translation termination factor eRF3; has a role in mRNA deadenylation and decay; altered protein conformation creates the [PSI(+)] prion that modifies cellular fitness, alters translational fidelity by affecting reading frame selection, and results in a nonsense suppressor phenotype; many stress-response genes are repressed in the presence of [PSI(+)]",cytoplasm,Normal,Abnormal,0,0,0,inviable ,Responsive,Responsive,58,Not calculated,260,58,1730,168,16,2239,447,101,1076,295,76,44,146,68,45,

YKL152C,GPM1,Tetrameric phosphoglycerate mutase; mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis,cytoplasm,Normal,Normal,1.501,1.255,0.965,inviable ,No aparent change,Responsive,Not calculated,93,535,366,1522,335,243,2119,945,482,2364,203,22,201,134,11,202,

